,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_degree,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score
5,0.0,0.0,0.0,0.0,linear,,4,10,"{'kernel': 'linear', 'degree': 4, 'C': 10}",0.9333333333333333,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.02357022603955158,1
6,0.0039061307907104492,0.006765616990519691,0.0,0.0,linear,0.0001,,10,"{'kernel': 'linear', 'gamma': 0.0001, 'C': 10}",0.9333333333333333,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.02357022603955158,1
3,0.0,0.0,0.0039058923721313477,0.006765204037427219,rbf,0.001,,100,"{'kernel': 'rbf', 'gamma': 0.001, 'C': 100}",0.9666666666666667,0.9333333333333333,1.0,0.9333333333333333,0.9583333333333333,0.02763853991962833,3
1,0.0,0.0,0.0,0.0,linear,,4,1000,"{'kernel': 'linear', 'degree': 4, 'C': 1000}",0.9333333333333333,0.9666666666666667,1.0,0.9,0.95,0.03726779962499649,4
7,0.0,0.0,0.0019588470458984375,0.0033928226077522983,linear,,3,1000,"{'kernel': 'linear', 'degree': 3, 'C': 1000}",0.9333333333333333,0.9666666666666667,1.0,0.9,0.95,0.03726779962499649,4
8,0.0007497668266296387,0.00043287817767037086,0.0002498030662536621,0.00043267160263783723,sigmoid,0.0001,4,1000,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 4, 'C': 1000}",0.9333333333333333,0.9666666666666667,0.9666666666666667,0.9333333333333333,0.95,0.016666666666666663,4
4,0.0,0.0,0.0,0.0,sigmoid,0.01,3,100,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 3, 'C': 100}",0.8,0.9,0.9,0.9,0.875,0.043301270189221926,7
0,0.0022088289260864258,0.003274044216847615,0.0003845095634460449,0.0006659900998846785,sigmoid,0.01,4,1000,"{'kernel': 'sigmoid', 'gamma': 0.01, 'degree': 4, 'C': 1000}",0.7666666666666667,0.8666666666666667,0.8333333333333334,0.7333333333333333,0.8,0.05270462766947301,8
2,0.0039061903953552246,0.006765720228792809,0.0,0.0,rbf,0.0001,,1,"{'kernel': 'rbf', 'gamma': 0.0001, 'C': 1}",0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.0,9
9,0.0004992485046386719,0.0004992492162504471,0.004405677318572998,0.006488958728431458,sigmoid,0.0001,3,1,"{'kernel': 'sigmoid', 'gamma': 0.0001, 'degree': 3, 'C': 1}",0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.0,9
